"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
1756	2.7e+07	"london england rock and roll single parent rap music bachelor"	"en"	"About a Boy"	28.227984	2002-04-26	1.29e+08	101	6.6	607	"Drama"	2002	4	26	"Hugh Grant"	"male"	"Chris"	"male"
571	7e+07	"paris guerrilla cinema self sacrifice dynamite"	"en"	"Inglourious Basterds"	72.595961	2009-08-18	319131050	153	7.9	6430	"Drama"	2009	8	18	"Brad Pitt"	"male"	"Quentin"	"male"
667	5e+07	"london england child abuse street gang runaway child labour"	"en"	"Oliver Twist"	20.415572	2005-09-23	42093706	130	6.7	274	"Drama"	2005	9	23	"Barney Clark"	"male"	"Roman"	"male"
3144	10	NA	"en"	"Plastic"	9.70276	2014-04-30	0	102	6.1	86	"Drama"	2014	4	30	"Ed Speleers"	"male"	"Julian"	"male"
3500	0	NA	"en"	"Lucky Break"	0.669169	2001-08-24	0	107	6.5	11	"Comedy"	2001	8	24	"James Nesbitt"	"male"	"Peter"	"male"
362	8.8e+07	"video game nerd alien attack 3d pixels"	"en"	"Pixels"	140.849495	2015-07-16	243637091	105	5.6	2513	"Comedy"	2015	7	16	"Adam Sandler"	"male"	"Chris"	"male"
469	7.5e+07	"california spy father son relationship mexico hero"	"en"	"The Legend of Zorro"	31.054334	2005-10-24	142400065	129	5.9	893	"Action"	2005	10	24	"Antonio Banderas"	"male"	"Martin"	"male"
4649	0	"brother brother relationship loss of father arkansas"	"en"	"Shotgun Stories"	5.251143	2007-10-01	0	92	6.9	57	"Drama"	2007	10	1	"Michael Shannon"	"male"	"Jeff"	"male"
3453	6e+06	NA	"en"	"The Wood"	5.537646	1999-07-16	25059640	106	7.1	34	"Drama"	1999	7	16	"Omar Epps"	"male"	"Rick"	"male"
4690	0	NA	"en"	"Samantha: An American Girl Holiday"	4.980585	2004-11-23	0	86	4.6	9	"Drama"	2004	11	23	"Mia Farrow"	"female"	"Nadia"	"female"
964	5e+07	"baseball trainer career legend training"	"en"	"For Love of the Game"	9.622345	1999-09-17	0	137	6.3	88	"Drama"	1999	9	17	"Kevin Costner"	"male"	"Sam"	"male"
617	7e+07	"christianity philosophy egypt new love war"	"en"	"Agora"	18.888806	2009-05-17	39041505	127	6.9	395	"Drama"	2009	5	17	"Rachel Weisz"	"female"	"Alejandro"	"male"
3258	8e+06	"suicide sex jealousy dream blackmail"	"en"	"The Good Girl"	9.799177	2002-01-12	16856124	93	6.1	181	"Drama"	2002	1	12	"Jennifer Aniston"	"female"	"Miguel"	"male"
3686	0	NA	"fr"	"Camping Sauvage"	0.20323	2005-10-13	0	80	4.8	4	"Drama"	2005	10	13	"Denis Lavant"	"male"	"Christophe"	"male"
1517	3.2e+07	"dystopia evil corporation repo man aftercreditsstinger"	"en"	"Repo Men"	25.799697	2010-03-18	18409891	111	6.2	620	"Thriller"	2010	3	18	"Jude Law"	"male"	"Miguel"	"male"
1273	4e+07	"ski"	"en"	"Extreme Ops"	2.911819	2002-11-27	10959475	93	5	28	"Drama"	2002	11	27	"Devon Sawa"	"male"	"Christian"	"male"
2070	3.2e+07	"gay"	"en"	"Hardball"	5.683281	2001-09-14	40222729	106	6.3	123	"Comedy"	2001	9	14	"Keanu Reeves"	"male"	"Brian"	"male"
2697	0	"hotel senator kitchen marriage crisis politics"	"en"	"Bobby"	11.706309	2006-09-05	0	120	6.4	119	"Drama"	2006	9	5	"Anthony Hopkins"	"male"	"Emilio"	"male"
4299	1200000	"baseball"	"en"	"Home Run"	3.085411	2013-04-19	2861020	114	6.3	24	"Drama"	2013	4	19	"Scott Elrod"	"male"	"David"	"male"
106	1.6e+08	"ambush sadness stage liberation of prisoners island"	"en"	"Shrek the Third"	42.986467	2007-05-17	798958165	93	6	2278	"Comedy"	2007	5	17	"Mike Myers"	"male"	"Chris"	"male"
43	2e+08	"saving the world artificial intelligence prophecy san francisco cyborg"	"en"	"Terminator Salvation"	71.862892	2009-05-20	371353001	115	5.9	2463	"Thriller"	2009	5	20	"Christian Bale"	"male"	"McG"	NA
2381	1.8e+07	"dual identity identity war on drugs jazz musician drug scene"	"en"	"Salton Sea"	10.991281	2002-01-01	676698	103	7	104	"Drama"	2002	1	1	"Val Kilmer"	"male"	"D.J."	NA
1541	3e+07	"jealousy toy boy friendship friends"	"en"	"Toy Story"	73.640445	1995-10-30	373554033	81	7.7	5269	"Comedy"	1995	10	30	"Tom Hanks"	"male"	"John"	"male"
4394	0	"magazine independent film counter-culture model arrogance"	"en"	"The Last Big Thing"	0.678475	1998-09-23	0	98	6	3	"Drama"	1998	9	23	"Dan Zukovic"	"male"	"Dan"	"male"
859	5.7e+07	"secret organization based on tv series golden gate bridge locker oil rig\u00a0"	"en"	"Thunderbirds"	9.27875	2004-07-23	28283637	95	4.2	91	"Comedy"	2004	7	23	"Brady Corbet"	"male"	"Jonathan"	"male"
2011	2.3e+07	NA	"en"	"Cheri"	5.494047	2009-02-10	9366227	86	5.9	56	"Drama"	2009	2	10	"Michelle Pfeiffer"	"female"	"Stephen"	"male"
2173	2e+07	"grandmother granddaughter relationship promiscuity mother daughter relationship summer teenager"	"en"	"Georgia Rule"	7.878177	2007-05-11	0	113	5.6	130	"Drama"	2007	5	11	"Jane Fonda"	"female"	"Garry"	"male"
2943	0	"free love sex sexuality indiana professor"	"en"	"Kinsey"	6.799314	2004-09-04	0	118	6.6	131	"Drama"	2004	9	4	"Liam Neeson"	"male"	"Bill"	"male"
1784	2.6e+07	"france child abuse slavery leonardo da vinci prince"	"en"	"Ever After: A Cinderella Story"	21.988861	1998-07-31	65705772	121	6.8	399	"Drama"	1998	7	31	"Drew Barrymore"	"male"	"Andy"	"male"
2497	1.1e+07	"clock tower jealousy cheating provence lie"	"fr"	"Welcome to the Sticks"	18.923181	2008-01-09	53191886	106	6.8	615	"Comedy"	2008	1	9	"Kad Merad"	NA	"Dany"	"male"
1618	3e+07	"fraud cover-up murder drug prescription medication"	"en"	"Side Effects"	48.237797	2013-02-07	63372757	106	6.4	1323	"Drama"	2013	2	7	"Jude Law"	"male"	"Steven"	"male"
1037	4.5e+07	"california workaholic birthday lie pregnancy and birth"	"en"	"Liar Liar"	26.721386	1997-03-21	1.81e+08	86	6.4	1424	"Comedy"	1997	3	21	"Jim Carrey"	"male"	"Tom"	"male"
3706	6e+06	"parents kids relationship airplane time travel school presentation school performance"	"en"	"Donnie Darko"	61.210016	2001-01-18	1270522	113	7.7	3452	"Drama"	2001	1	18	"Jake Gyllenhaal"	"male"	"Richard"	"male"
649	6.5e+07	"kurdish"	"en"	"The Dictator"	31.349143	2012-05-15	179379533	83	5.9	1743	"Comedy"	2012	5	15	"Sacha Baron"	"female"	"Larry"	"male"
4190	5e+05	"difficult childhood psychoterror murder loneliness artificial"	"en"	"May"	8.650779	2002-01-13	150277	93	6.3	152	"Drama"	2002	1	13	"Angela Bettis"	"female"	"Lucky"	"male"
2749	1.3e+07	"faithlessness puppet killer toys toy comes to life"	"en"	"Child's Play 2"	16.681567	1990-11-09	35763605	84	5.8	308	"Drama"	1990	11	9	"Alex Vincent"	"male"	"John"	"male"
399	8.5e+07	"hunter mountains garage grizzly bear bunny"	"en"	"Open Season"	26.61951	2006-09-29	197309027	83	6.1	656	"Adventure"	2006	9	29	"Martin Lawrence"	"male"	"Jill"	"female"
4230	1500000	"paris prostitute robbery drug abuse aids"	"en"	"Killing Zoe"	5.817519	1993-10-01	418961	96	6.1	111	"Drama"	1993	10	1	"Eric Stoltz"	"male"	"Roger"	"male"
3535	0	"penalty choir diary musical boy's choir"	"fr"	"The Chorus"	20.982455	2004-03-17	0	96	7.5	526	"Drama"	2004	3	17	"G\u00e9rard Jugnot"	NA	"Christophe"	"male"
1859	2.5e+07	"holiday female friendship jeans coming of age teenage girl"	"en"	"The Sisterhood of the Traveling Pants"	17.17372	2005-06-01	39053061	119	6.3	386	"Drama"	2005	6	1	"Amber Tamblyn"	"female"	"Ken"	"male"
2834	1.2e+07	"carpet pimp harvard university joint cannabis"	"en"	"How High"	11.510281	2001-12-21	31155435	93	6.3	218	"Comedy"	2001	12	21	"Method Man"	NA	"Jesse"	"male"
665	6.5e+07	"weather forecast tv station weather lottery wettermann"	"en"	"Lucky Numbers"	2.952595	2000-10-27	0	105	4.9	52	"Comedy"	2000	10	27	"John Travolta"	"male"	"Nora"	"female"
197	1.25e+08	"witch christmas party magic cutting the cord halloween"	"en"	"Harry Potter and the Philosopher's Stone"	109.984351	2001-11-16	976475550	152	7.5	7006	"Adventure"	2001	11	16	"Daniel Radcliffe"	"male"	"Chris"	"male"
47	1.9e+08	"spacecraft friendship sequel futuristic space"	"en"	"Star Trek Into Darkness"	78.291018	2013-05-05	467365246	132	7.4	4418	"Action"	2013	5	5	"Chris Pine"	"male"	"J.J."	NA
276	1e+08	"flying car witch magic cutting the cord child hero"	"en"	"Harry Potter and the Chamber of Secrets"	132.397737	2002-11-13	876688482	161	7.4	5815	"Adventure"	2002	11	13	"Daniel Radcliffe"	"male"	"Chris"	"male"
33	2.1e+08	"mutant marvel comic based on comic book superhuman beast"	"en"	"X-Men: The Last Stand"	3.857526	2006-05-24	459359555	104	6.3	3525	"Thriller"	2006	5	24	"Hugh Jackman"	"male"	"Brett"	"male"
2716	1.4e+07	"shyness based on novel unrequited love neighbor family relationships"	"en"	"Flipped"	24.210698	2010-08-06	1755212	89	7.4	418	"Drama"	2010	8	6	"Madeline Carroll"	"female"	"Rob"	"male"
1580	0	"squirrel 3d"	"en"	"The Nut Job"	18.568021	2014-01-17	0	85	5.5	319	"Comedy"	2014	1	17	"Will Arnett"	"male"	"Peter"	"male"
1379	3.3e+07	"drowning therapist virtual reality serial killer psychopathy"	"en"	"The Cell"	25.413955	2000-08-17	104155843	107	6	436	"Thriller"	2000	8	17	"Jennifer Lopez"	"female"	"Tarsem"	NA
2779	0	NA	"en"	"The Claim"	2.996284	2000-12-29	0	120	5.6	17	"Drama"	2000	12	29	"Peter Mullan"	"male"	"Michael"	"male"
1141	4.1e+07	"individual street gang adolescence rap music hip-hop"	"en"	"8 Mile"	32.798571	2002-11-08	2.15e+08	110	6.8	1626	"Drama"	2002	11	8	"Eminem Mekhi"	NA	"Curtis"	"male"
2428	1.7e+07	"male nudity female nudity tattoo gambling corruption"	"en"	"Brooklyn's Finest"	18.790102	2009-01-16	29536299	133	6.2	293	"Drama"	2009	1	16	"Richard Gere"	"male"	"Antoine"	"male"
4433	930000	"baby roommate friendship single los angeles"	"en"	"L!fe Happens"	5.974156	2011-06-18	30905	100	5.3	66	"Comedy"	2011	6	18	"Krysten Ritter"	"female"	"Kat"	"female"
743	7.5e+07	"witch magic sorcery love curse"	"en"	"Practical Magic"	15.142701	1998-10-16	46683377	104	6.3	338	"Drama"	1998	10	16	"Sandra Bullock"	"female"	"Griffin"	"male"
2240	2e+07	"corruption capitalism winter american dream immigrant"	"en"	"A Most Violent Year"	37.629309	2014-12-30	12007070	125	6.5	546	"Drama"	2014	12	30	"Oscar Isaac"	"male"	"J.C."	NA
3628	4e+06	"monk sunrise medicine hostage evacuation"	"fr"	"Of Gods and Men"	4.992475	2010-05-18	41424067	120	6.5	91	"Drama"	2010	5	18	"Lambert Wilson"	"male"	"Xavier"	"male"
618	6.8e+07	"bowling hostage sphinx training insane asylum"	"en"	"Mystery Men"	12.948627	1999-08-06	29762011	121	5.7	250	"Comedy"	1999	8	6	"Ben Stiller"	"male"	"Kinka"	NA
3323	7500000	"seattle shanghai future insurance salesman dystopia"	"en"	"Code 46"	8.859657	2003-09-02	0	92	6.2	116	"Drama"	2003	9	2	"Tim Robbins"	"male"	"Michael"	"male"
1710	2.1e+07	"forgiveness child prodigy terminal illness dysfunctional family cigarette smoking"	"en"	"The Royal Tenenbaums"	24.13081	2001-10-05	71441250	110	7.4	1286	"Drama"	2001	10	5	"Gene Hackman"	"male"	"Wes"	"male"
519	7.5e+07	"paris bank secret fbi vault"	"en"	"Now You See Me"	71.124686	2013-05-29	117698894	115	7.3	5487	"Thriller"	2013	5	29	"Jesse Eisenberg"	"male"	"Louis"	"male"
131	1.5e+08	"dyr duringcreditsstinger"	"en"	"G-Force"	26.710398	2009-07-21	292817841	88	5.1	510	"Comedy"	2009	7	21	"Sam Rockwell"	"male"	"Hoyt"	"male"
4511	5e+05	"father son relationship fire firemen christian advice"	"en"	"Fireproof"	6.093989	2008-09-26	33456317	122	7	100	"Drama"	2008	9	26	"Kirk Cameron"	"male"	"Alex"	"male"
612	6.8e+07	"vampire graduation bite immortality werewolf"	"en"	"The Twilight Saga: Eclipse"	107.069763	2010-06-23	698491347	124	5.8	2301	"Drama"	2010	6	23	"Kristen Stewart"	"female"	"David"	"male"
3793	4e+06	NA	"en"	"The Velocity of Gary"	0.409089	1999-07-16	0	100	4.2	5	"Drama"	1999	7	16	"Vincent D'Onofrio"	"male"	"Dan"	"male"
1317	3.8e+07	"sailing trip diary sailing survival coming of age"	"en"	"White Squall"	10.047579	1996-02-02	10300000	129	6.3	86	"Drama"	1996	2	2	"Jeff Bridges"	"male"	"Ridley"	"male"
786	68490000	"monkey king"	"zh"	"The Monkey King 2"	4.72629	2016-01-22	193677158	120	6	24	"Action"	2016	1	22	"Aaron Kwok"	"male"	"Soi"	NA
2496	1.6e+07	"black people hip-hop nightclub airplane chaos"	"en"	"Soul Plane"	9.400404	2004-05-28	14822346	86	4.7	108	"Comedy"	2004	5	28	"Tom Arnold"	"male"	"Jessy"	"male"
1670	2.1e+07	"competition martial arts kung fu assassin fight"	"en"	"DOA: Dead or Alive"	12.790408	2006-09-07	480314	87	5	205	"Thriller"	2006	9	7	"Jaime Pressly"	"male"	"Corey"	"male"
3640	5e+06	"skinhead heroin music cover-up murder"	"en"	"Green Room"	30.001024	2016-04-15	3220371	95	6.7	683	"Thriller"	2016	4	15	"Anton Yelchin"	"male"	"Jeremy"	"male"
3844	0	"female nudity pagan aztec indian"	"es"	"The Other Conquest"	0.015597	1999-04-01	0	105	5.4	4	"Drama"	1999	4	1	"Dami\u00e1n Delgado"	NA	"Salvador"	"male"
1805	0	"hypnosis independent film"	"en"	"The Curse of the Jade Scorpion"	9.317265	2001-08-05	0	103	6.5	165	"Comedy"	2001	8	5	"Dan Aykroyd"	"male"	"Woody"	"male"
2969	0	"rain butterfly rainforest woman director insects"	"en"	"The Blue Butterfly"	1.985552	2004-02-20	0	97	6.8	6	"Drama"	2004	2	20	"Marc Donato"	"male"	"L\u00e9a"	NA
4526	0	NA	"en"	"The R.M."	0.082978	2003-01-31	0	101	4.8	4	"Comedy"	2003	1	31	"Kirby Heyborne"	"male"	"Kurt"	"male"
2793	1.3e+07	"sheriff crime fighter"	"en"	"The Killer Inside Me"	11.892615	2010-02-19	0	109	6	173	"Drama"	2010	2	19	"Casey Affleck"	"male"	"Michael"	"male"
347	1e+08	"weather food science"	"en"	"Cloudy with a Chance of Meatballs"	46.781182	2009-09-17	242988466	90	6.5	1747	"Comedy"	2009	9	17	"Bill Hader"	"male"	"Phil"	"male"
1836	2.5e+07	"retirement wyatt earp right and justice historical figure"	"en"	"Tombstone"	30.537845	1993-12-25	56505065	130	7.4	626	"Drama"	1993	12	25	"Kurt Russell"	"male"	"George"	"male"
2135	2e+07	"sexual abuse boy wine gift janitor"	"en"	"Doubt"	20.975165	2008-11-27	50907234	104	7	435	"Drama"	2008	11	27	"Meryl Streep"	"female"	"John"	"male"
2130	2e+07	"prostitute sweden suspense priest very little dialogue"	"en"	"The American"	18.632156	2010-08-31	65464324	104	5.8	481	"Drama"	2010	8	31	"George Clooney"	"male"	"Anton"	"male"
1398	3.5e+07	"assassin based on video game aftercreditsstinger"	"en"	"Max Payne"	25.903237	2008-10-15	85416905	100	5.2	613	"Action"	2008	10	15	"Mark Wahlberg"	"male"	"John"	"male"
1948	2.5e+07	"american football country house motorboat male female relationship thirty something"	"fr"	"Little White Lies"	15.279021	2010-10-20	48531470	154	7.1	380	"Drama"	2010	10	20	"Fran\u00e7ois Cluzet"	NA	"Guillaume"	"male"
2242	0	"biography"	"en"	"Flash of Genius"	3.350297	2008-09-07	0	119	6.3	59	"Drama"	2008	9	7	"Aaron Abrams"	"male"	"Marc"	"male"
3992	0	NA	"en"	"Sardaarji"	0.296981	2015-06-26	0	0	9.5	2	NA	2015	6	26	NA	NA	"Rohit"	"male"
855	5.6e+07	"war battle union soldier confederate soldier american civil war"	"en"	"Gods and Generals"	4.362535	2003-02-21	12923936	214	6.1	48	"Drama"	2003	2	21	"Stephen Lang"	"male"	"Ronald"	"male"
3053	6e+06	"slapstick ensemble cast duringcreditsstinger woman director laxative"	"en"	"Movie 43"	35.350303	2013-01-01	32438988	90	4.4	797	"Comedy"	2013	1	1	"Anna Faris"	"female"	"Griffin"	"male"
3972	3200000	NA	"en"	"Chicago Overcoat"	1.034844	2009-10-10	0	95	6.1	5	"Thriller"	2009	10	10	"Frank Vincent"	"male"	"Brian"	"male"
4398	1e+06	"virtual reality black and white"	"en"	"Creative Control"	1.50211	2016-03-11	0	97	5.4	25	"Drama"	2016	3	11	"Benjamin Dickinson"	"male"	"Benjamin"	"male"
2257	1e+07	"france hotel 1970s grief travel"	"en"	"By the Sea"	11.267676	2015-11-12	3727746	122	5.4	156	"Drama"	2015	11	12	"Angelina Jolie"	"female"	"Angelina"	"female"
1505	3.2e+07	"undercover fbi sequel comedy disguise"	"en"	"Big Mommas: Like Father, Like Son"	15.901137	2011-02-16	83615414	107	5.3	313	"Comedy"	2011	2	16	"Martin Lawrence"	"male"	"John"	"male"
290	1e+08	"airplane number in title airplane crash violence beard"	"en"	"The Expendables 2"	53.732892	2012-08-08	312573423	103	6.1	2896	"Thriller"	2012	8	8	"Sylvester Stallone"	"male"	"Simon"	"male"
753	6e+07	"usa president agent"	"en"	"The Sentinel"	15.352807	2006-04-19	77920346	108	5.8	225	"Thriller"	2006	4	19	"Michael Douglas"	"male"	"Clark"	"male"
755	6e+07	"clone assassination ambush federation starfleet"	"en"	"Star Trek: Nemesis"	21.605533	2002-12-13	67312826	117	6.1	479	"Thriller"	2002	12	13	"Patrick Stewart"	"male"	"Stuart"	"male"
1707	2.8e+07	"refugee mass murder habor car journey department store"	"en"	"Dawn of the Dead"	44.529429	2004-03-19	102356381	101	6.8	1016	"Action"	2004	3	19	"Sarah Polley"	"female"	"Zack"	"male"
785	3.5e+07	"london england cia landmine love of one's life cambodia"	"en"	"Beyond Borders"	6.523472	2003-10-23	0	127	6.7	110	"Drama"	2003	10	23	"Angelina Jolie"	"female"	"Martin"	"male"
9	2.5e+08	"dc comics vigilante superhero based on comic book revenge"	"en"	"Batman v Superman: Dawn of Justice"	155.790452	2016-03-23	873260194	151	5.7	7004	"Action"	2016	3	23	"Ben Affleck"	"male"	"Zack"	"male"
3093	0	"female nudity gambling casino nudity banker"	"en"	"Owning Mahowny"	8.045488	2003-05-02	0	104	6.8	37	"Drama"	2003	5	2	"Philip Seymour"	"male"	"Richard"	"male"
151	7e+07	"denmark nordic mythology lie pride and vanity folk hero"	"en"	"Beowulf"	35.601665	2007-11-05	195735876	115	5.5	841	"Action"	2007	11	5	"Ray Winstone"	"male"	"Robert"	"male"
3002	1e+07	"dream chimp manipulation botanist virtual reality"	"en"	"The Lawnmower Man"	10.125029	1992-03-05	32101000	108	5.4	197	"Thriller"	1992	3	5	"Jeff Fahey"	"male"	"Brett"	"male"
1214	4e+07	"family life raft private plane toothbrush gluttony"	"en"	"Ri¢hie Ri¢h"	14.398356	1994-12-19	0	95	5.4	415	"Comedy"	1994	12	19	"Macaulay Culkin"	"male"	"Donald"	"male"
2870	0	"exzentrik independent film reporter ex-wife spectacle"	"en"	"Celebrity"	7.594593	1998-09-07	0	113	6	111	"Drama"	1998	9	7	"Kenneth Branagh"	"male"	"Woody"	"male"
313	9.9e+07	"based on comic strip family 3d charlie brown snoopy"	"en"	"The Peanuts Movie"	34.308098	2015-11-05	246233113	88	6.5	604	"Animation"	2015	11	5	"Noah Schnapp"	"male"	"Steve"	"male"
3478	7e+06	"sexuality college girlfriend vomit celebration"	"en"	"College"	7.034618	2008-08-28	6230276	94	4.8	48	"Comedy"	2008	8	28	"Drake Bell"	"male"	"Deb"	"female"
2334	1.8e+07	"times square superhero long take new york city play"	"en"	"Birdman"	89.811154	2014-08-27	103215094	119	7.4	4535	"Drama"	2014	8	27	"Michael Keaton"	"male"	"Alejandro"	"male"
1526	3.2e+07	"male nudity sex san francisco waitress newspaper"	"en"	"Going the Distance"	13.611544	2010-09-01	42045846	102	6	262	"Drama"	2010	9	1	"Drew Barrymore"	"male"	"Nanette"	"female"
462	8e+07	"senator gulf war canoe kuwait conspiracy"	"en"	"The Manchurian Candidate"	21.394281	2004-07-30	96105964	129	6.2	393	"Drama"	2004	7	30	"Denzel Washington"	"male"	"Jonathan"	"male"
1741	2.4e+07	NA	"es"	"Alatriste"	6.009644	2006-09-01	23321954	145	5.6	61	"Action"	2006	9	1	"Viggo Mortensen"	"male"	"Agust\u00edn"	NA
3917	0	"woman director"	"en"	"Phat Girlz"	0.982624	2006-01-01	0	99	3.7	10	"Comedy"	2006	1	1	"Mo'Nique Jimmy"	NA	"Nnegest"	NA
2769	1.3e+07	"paris city portrait jazz subway new love"	"fr"	"Paris, je t'aime"	10.573191	2006-05-16	4857367	120	6.8	207	"Drama"	2006	5	16	"Steve Buscemi"	"male"	"Isabel"	"female"
4681	0	"wife husband relationship reality reality tv reality spoof"	"en"	"Reality Show"	0.472123	2015-01-01	0	92	5.5	2	NA	2015	1	1	"Adam Rifkin"	"male"	"Adam"	"male"
4589	0	"independent film"	"en"	"Fabled"	0.003352	2002-01-01	0	84	0	0	"Drama"	2002	1	1	NA	NA	NA	NA
1298	80341000	"flaming arrow chinese history strategy carrier pigeon spear throwing"	"zh"	"Red Cliff"	14.8375	2008-07-10	127814609	150	7.1	205	"Drama"	2008	7	10	"Chang Chen"	"male"	"John"	"male"
1046	4.5e+07	"judge professor mission of murder supreme court"	"en"	"The Pelican Brief"	17.923254	1993-12-16	195268056	141	6.3	371	"Drama"	1993	12	16	"Julia Roberts"	"female"	"Alan"	"male"
3521	0	"independent film"	"en"	"Sunshine State"	4.245123	2002-06-21	0	141	6	10	"Drama"	2002	6	21	"Alan King"	"male"	"John"	"male"
1475	3.5e+07	"mother father son relationship field athlete soccer"	"en"	"Playing for Keeps"	17.932561	2012-11-29	0	106	5.4	240	"Comedy"	2012	11	29	"Gerard Butler"	"male"	"Gabriele"	"female"
3514	4e+06	"netherlands world war ii"	"nl"	"Winter in Wartime"	5.013575	2008-11-17	530048	103	6.8	66	"Drama"	2008	11	17	"Martijn Lakemeier"	"male"	"Martin"	"male"
2212	2e+07	"heist betrayal dirty cop"	"en"	"Triple 9"	29.371987	2016-02-19	12639297	115	5.6	797	"Thriller"	2016	2	19	"Casey Affleck"	"male"	"John"	"male"
2543	1.5e+07	"corruption new jersey handcuffs fbi bridge"	"en"	"Cop Land"	19.284129	1997-08-15	44862187	104	6.6	382	"Drama"	1997	8	15	"Sylvester Stallone"	"male"	"James"	"male"
3855	3500000	"climate change documentary"	"en"	"Time to Choose"	1.618138	2015-09-04	0	100	0	0	"Documentary"	2015	9	4	"Oscar Isaac"	"male"	"Charles"	"male"
764	8e+07	"competition world war i great depression caddy savannah"	"en"	"The Legend of Bagger Vance"	16.848899	2000-11-02	39459427	126	6.3	251	"Drama"	2000	11	2	"Matt Damon"	"male"	"Robert"	"male"
3294	0	"underdog secret society friendship pistol self esteem"	"en"	"Dear Wendy"	2.597665	2005-01-22	0	105	5.6	33	"Drama"	2005	1	22	"Jamie Bell"	"female"	"Thomas"	"male"
2802	1.5e+07	"infidelity bankrupt loneliness comedy family drama"	"en"	"Solitary Man"	7.497306	2009-09-07	5024782	90	5.8	84	"Drama"	2009	9	7	"Michael Douglas"	"male"	"Brian"	"male"
1855	2.5e+07	"brother brother relationship deaf-mute american dream fanatic pipeline"	"en"	"There Will Be Blood"	37.817905	2007-12-28	77208711	158	7.9	1537	"Drama"	2007	12	28	"Daniel Day-Lewis"	"male"	"Paul"	"male"
287	1e+08	"bounty hunter hero plantation society friendship"	"en"	"Django Unchained"	82.121691	2012-12-25	425368238	165	7.8	10099	"Drama"	2012	12	25	"Jamie Foxx"	"female"	"Quentin"	"male"
2477	1.6e+07	"bloodthirstiness high school sexual murder horror gore"	"en"	"Jennifer's Body"	32.257414	2009-09-18	31556061	100	5.3	837	"Comedy"	2009	9	18	"Megan Fox"	"female"	"Karyn"	"female"
2583	1.5e+07	"cia retired agent"	"en"	"The November Man"	45.317278	2014-08-27	32556119	108	6	639	"Thriller"	2014	8	27	"Pierce Brosnan"	"male"	"Roger"	"male"
4406	9e+05	"bisexuality australia twin brother friends melbourne"	"en"	"Loving Annabelle"	7.145832	2006-03-08	0	76	6.4	55	"Drama"	2006	3	8	"Erin Kelly"	"female"	"Katherine"	"female"
2577	0	NA	"en"	"Tuck Everlasting"	4.115398	2002-10-11	0	90	6.4	128	"Drama"	2002	10	11	"Alexis Bledel"	"female"	"Jay"	"male"
4097	6e+06	"dj"	"en"	"We Are Your Friends"	28.819424	2015-08-26	11122090	96	6.3	658	"Drama"	2015	8	26	"Zac Efron"	"male"	"Max"	"male"
1907	2.5e+07	"mistake in person dying and death twin brother russian mafia"	"en"	"Maximum Risk"	10.115011	1996-09-13	51702483	100	5.2	101	"Thriller"	1996	9	13	"Jean-Claude Van"	NA	"Ringo"	"male"
958	5e+07	"miami florida double murder divorce"	"en"	"Out of Time"	14.993459	2003-10-03	55495563	105	6.1	298	"Drama"	2003	10	3	"Denzel Washington"	"male"	"Carl"	"male"
2176	2e+07	"illegitimate son"	"en"	"Simon Birch"	11.090254	1998-09-11	18253415	114	6.5	52	"Drama"	1998	9	11	"Jim Carrey"	"male"	"Mark"	"male"
3779	0	"woman director"	"en"	"Zipper"	8.516229	2015-08-28	0	103	5.5	58	"Drama"	2015	8	28	"Patrick Wilson"	"male"	"Mora"	"female"
3317	7500000	"sport"	"en"	"Men with Brooms"	1.369528	2002-09-20	4245870	102	4.5	7	"Comedy"	2002	9	20	"Paul Gross"	"male"	"Paul"	"male"
4481	0	"street gang hip-hop dance fight breakdance"	"en"	"Rize"	1.623769	2005-01-15	0	86	5.9	13	"Documentary"	2005	1	15	"Christopher Toler"	"male"	"David"	"male"
1271	3.3e+07	"dystopia spaceship survival mission"	"en"	"Pandorum"	28.353517	2009-09-08	20645327	108	6.5	774	"Thriller"	2009	9	8	"Ben Foster"	"male"	"Christian"	"male"
2041	2.2e+07	"journalist cat ransom kidnapping ancient rome"	"en"	"Hail, Caesar!"	39.006187	2016-02-05	63647656	106	5.7	1309	"Drama"	2016	2	5	"Josh Brolin"	"male"	"Joel"	"male"
237	1.15e+08	"witch magic fairy tale snow white huntsman"	"en"	"The Huntsman: Winter's War"	60.467984	2016-04-06	164602163	114	6	1523	"Drama"	2016	4	6	"Chris Hemsworth"	"male"	"Cedric"	"male"
4347	1e+06	"rome exorcism death demonic possession found footage"	"en"	"The Devil Inside"	13.152822	2012-01-06	101758490	83	4.6	262	"Thriller"	2012	1	6	"Fernanda Andrade"	"female"	"William"	"male"
1140	3.3e+07	"unemployment contortionist human cannonball"	"fr"	"Micmacs"	7.663515	2009-10-28	1.4e+07	100	6.8	148	"Comedy"	2009	10	28	"Dany Boon"	"male"	"Jean-Pierre"	NA
504	7.5e+07	"pet bunny anthropomorphism dog animal"	"en"	"The Secret Life of Pets"	31.482872	2016-06-18	875958308	87	5.9	3462	"Family"	2016	6	18	"Louis C.K."	"male"	"Chris"	"male"
